timestamp,dl_rssi,dl_snr,ul_rssi,ul_snr,rssi_mean,snr_mean,rssi_diff,snr_diff,periodo,temp_c,dewpoint_c,precip_mm,press_hpa,wind_ms,rain_flag,rain_class
2026-03-18 05:00:00,-76.25,20.25,-77.16666666666667,21.083333333333332,-76.70833333333333,20.666666666666668,0.9166666666666666,-0.8333333333333334,humedo,6.8318176,4.1030884,0.027827919,691.525,1.4914417,1,lluvia_ligera
2026-03-18 06:00:00,-76.25,20.0,-76.83333333333333,21.166666666666668,-76.54166666666667,20.583333333333332,0.5833333333333334,-1.1666666666666667,humedo,6.599457,3.5595398,0.027827919,691.83563,1.5649942,1,lluvia_ligera
2026-03-18 07:00:00,-75.75,20.666666666666668,-76.25,21.75,-76.0,21.208333333333332,0.5,-1.0833333333333333,humedo,7.016205,3.9300842,0.02783537,692.21124,1.4402378,1,lluvia_ligera
2026-03-18 08:00:00,-75.16666666666667,21.083333333333332,-76.25,22.083333333333332,-75.70833333333333,21.583333333333332,1.0833333333333333,-1.0,humedo,9.721283,4.563568,0.02783537,692.87,1.3594826,1,lluvia_ligera
2026-03-18 09:00:00,-75.63636363636364,20.727272727272727,-76.9090909090909,21.818181818181817,-76.27272727272727,21.272727272727273,1.2727272727272727,-1.0909090909090908,humedo,11.936005,3.8789368,0.02783537,693.4125,1.4988025,1,lluvia_ligera
2026-03-18 10:00:00,-75.58333333333333,21.0,-76.83333333333333,21.5,-76.20833333333333,21.25,1.25,-0.5,humedo,13.695282,3.9032898,0.028520823,693.85315,1.3999767,1,lluvia_ligera
2026-03-18 11:00:00,-75.16666666666667,20.833333333333332,-76.91666666666667,21.916666666666668,-76.04166666666667,21.375,1.75,-1.0833333333333333,humedo,13.837128,4.0542297,0.035256147,693.89185,1.3411372,1,lluvia_ligera
2026-03-18 12:00:00,-74.63636363636364,21.818181818181817,-77.0909090909091,21.636363636363637,-75.86363636363636,21.727272727272727,2.4545454545454546,0.18181818181818182,humedo,14.801666,4.4441833,0.05286932,693.405,1.8177073,1,lluvia_ligera
2026-03-18 13:00:00,-75.16666666666667,21.916666666666668,-76.41666666666667,22.25,-75.79166666666667,22.083333333333332,1.25,-0.3333333333333333,humedo,15.633087,4.327942,0.08326769,692.32,2.7528787,1,lluvia_ligera
2026-03-18 14:00:00,-75.08333333333333,21.666666666666668,-76.41666666666667,21.75,-75.75,21.708333333333332,1.3333333333333333,-0.08333333333333333,humedo,13.998383,5.0172424,0.19191206,692.1744,2.1883273,1,lluvia_ligera
